grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
1.6571733934834307,1.3908981084823608,1.402584980274069,1.3781782066499866,1.375598923580067,1.4188096094131473,0.7850195169448853,0.788179337978363,0.7809432889964127,0.7957768842980671,0.7714660787582396,128,0,,,,,,,,,,
,,,,,,,,,,,,,1.8824561834335327,1.8551197147369385,1.8671966306865213,1.907663268011969,1.8894870386404148,1.2780464887619019,1.2461348414421083,1.24251976236701,1.2724065990061375,1.3410855707000289
1.131159573264637,1.1080114209651943,0.9452514043066171,1.0650897547242706,1.1578559248488678,1.263913073062605,0.5215143811702727,0.35794291674661916,0.478060372290763,0.5732004573437259,0.6770585213228147,6528,50,,,,,,,,,,
0.8131546490131534,0.9884801459312438,0.7618713208944288,0.9266191587392534,1.0648856004971345,1.1894700152878364,0.42876501739025125,0.2014919402428146,0.3627292904037736,0.5072435742804741,0.632258380169223,12928,100,,,,,,,,,,
0.7824311850855384,0.9334144651889801,0.6956942807696748,0.8573521420499739,1.021322810006521,1.1562463987093015,0.4034487968683242,0.16385100285871873,0.33000484146294556,0.4890351299444832,0.6278052938679234,19328,150,,,,,,,,,,
0.7814710770782156,0.8825787532329561,0.6363005291693141,0.7995420741456876,0.9727183819519291,1.127675433929285,0.37755495548248263,0.13542585768482887,0.29136074162663084,0.4690843325069288,0.6202309308721786,25728,200,,,,,,,,,,
0.7654307824242131,0.8137297368049617,0.5824916726325305,0.7177991110226725,0.8875350946633137,1.0810406214399142,0.3377243995666505,0.10832826374696038,0.23871220857147776,0.4138210722924231,0.6041716097737722,32128,250,,,,,,,,,,
0.7675780348345773,0.7675880408287047,0.5486780539903734,0.6557421149901235,0.8299085629375484,1.0430417752537016,0.31022588074207297,0.09283950120238023,0.19666434314462367,0.36840495684669955,0.5900017962904548,38528,300,,,,,,,,,,
0.7467585272484525,0.7146057856082918,0.5114960737143868,0.5980785271209993,0.7594177003332108,0.998441313069963,0.28584988504648223,0.07997260042090529,0.1706187082670338,0.3290617623689335,0.572863298843778,44928,350,,,,,,,,,,
0.7271277474222447,0.6788022637367247,0.4769225082567493,0.5589603357976953,0.7115805685366455,0.9660568405401555,0.27162424623966197,0.0701177567757413,0.1496476525120849,0.305005640713805,0.5600787682614724,51328,400,,,,,,,,,,
0.7189934721638429,0.6470546114444733,0.45073187071887566,0.5234039038007092,0.6767095714446392,0.9444601245843788,0.2611439025402069,0.06029403327093903,0.14025375470519047,0.289684343672053,0.5614405152592016,57728,450,,,,,,,,,,
0.7157702261893661,0.617005397081375,0.4242703062560901,0.48979843470346013,0.646626973608024,0.914929708171707,0.251438205242157,0.05684500353022449,0.12842653680112578,0.28180673779264376,0.5461567371872287,64128,500,,,,,,,,,,
0.6913851500025104,0.5913293468952178,0.3958377612993502,0.46533790084929305,0.6203922124210648,0.8866869047084657,0.24879342317581166,0.052133043349768336,0.12228471222205409,0.2737851214474451,0.5500971244409494,70528,550,,,,,,,,,,
0.6827641113398121,0.5668975782394408,0.37189618944763336,0.44213741506982873,0.5882034147163058,0.8731355488934033,0.2415570622682571,0.04721103782160192,0.11448366959350864,0.2659786097676479,0.5463973285911086,76928,600,,,,,,,,,,
0.6667048356593022,0.5492533814907077,0.35304498524154554,0.41377454169509265,0.5655302792841611,0.8528446761262671,0.24288376539945603,0.0443802520477118,0.11274379532576898,0.2596027805180508,0.542913449631754,83328,650,,,,,,,,,,
0.6408743073682944,0.5227309489250183,0.3288656926265966,0.3936325510154413,0.5450289747076611,0.8297379254120876,0.23507497340440756,0.04153936249484622,0.10726635648758835,0.2577070382879862,0.5401022974709393,89728,700,,,,,,,,,,
